Month,Ridership,log_rider
Jan-91,1709,3.232742063
Feb-91,1621,3.209783015
Mar-91,1973,3.295127085
Apr-91,1812,3.258158193
May-91,1975,3.2955671
Jun-91,1862,3.269979677
Jul-91,1940,3.28780173
Aug-91,2013,3.303843775
Sep-91,1596,3.203032887
Oct-91,1725,3.236789099
Nov-91,1676,3.224274014
Dec-91,1814,3.258637283
Jan-92,1615,3.208172527
Feb-92,1557,3.192288613
Mar-92,1891,3.276691529
Apr-92,1956,3.29136885
May-92,1885,3.275311355
Jun-92,1623,3.21031852
Jul-92,1903,3.279438788
Aug-92,1997,3.300378065
Sep-92,1704,3.23146959
Oct-92,1810,3.257678575
Nov-92,1862,3.269979677
Dec-92,1875,3.273001272
Jan-93,1705,3.231724383
Feb-93,1619,3.209246849
Mar-93,1837,3.264109156
Apr-93,1957,3.291590826
May-93,1917,3.282622113
Jun-93,1882,3.274619619
Jul-93,1933,3.286231854
Aug-93,1996,3.300160537
Sep-93,1673,3.223495941
Oct-93,1753,3.243781916
Nov-93,1720,3.235528447
Dec-93,1734,3.239049093
Jan-94,1563,3.193958978
Feb-94,1574,3.197004728
Mar-94,1903,3.279438788
Apr-94,1834,3.263399331
May-94,1831,3.262688344
Jun-94,1776,3.249442961
Jul-94,1868,3.271376872
Aug-94,1907,3.280350693
Sep-94,1686,3.22685757
Oct-94,1779,3.250175948
Nov-94,1776,3.249442961
Dec-94,1783,3.251151343
Jan-95,1548,3.189770956
Feb-95,1497,3.1752218
Mar-95,1798,3.254789687
Apr-95,1733,3.238798563
May-95,1772,3.248463718
Jun-95,1761,3.245759356
Jul-95,1792,3.253338005
Aug-95,1875,3.273001272
Sep-95,1571,3.196176185
Oct-95,1647,3.216693599
Nov-95,1673,3.223495941
Dec-95,1657,3.219322508
Jan-96,1382,3.140508043
Feb-96,1361,3.133858125
Mar-96,1559,3.192846115
Apr-96,1608,3.206286044
May-96,1697,3.229681842
Jun-96,1693,3.228656958
Jul-96,1836,3.263872677
Aug-96,1943,3.288472801
Sep-96,1551,3.190611798
Oct-96,1687,3.227115083
Nov-96,1576,3.197556213
Dec-96,1700,3.230448921
Jan-97,1397,3.145196406
Feb-97,1372,3.137354111
Mar-97,1708,3.232487866
Apr-97,1655,3.218797998
May-97,1763,3.246252312
Jun-97,1776,3.249442961
Jul-97,1934,3.28645647
Aug-97,2008,3.302763708
Sep-97,1616,3.208441356
Oct-97,1774,3.248953615
Nov-97,1732,3.238547888
Dec-97,1797,3.254548077
Jan-98,1570,3.195899652
Feb-98,1413,3.150142162
Mar-98,1755,3.244277121
Apr-98,1825,3.261262869
May-98,1843,3.265525335
Jun-98,1826,3.261500773
Jul-98,1968,3.294025094
Aug-98,1922,3.283753383
Sep-98,1670,3.222716471
Oct-98,1791,3.253095586
Nov-98,1817,3.259354927
Dec-98,1847,3.266466895
Jan-99,1599,3.203848464
Feb-99,1549,3.190051418
Mar-99,1832,3.262925469
Apr-99,1840,3.264817823
May-99,1846,3.266231697
Jun-99,1865,3.270678836
Jul-99,1966,3.293583513
Aug-99,1949,3.289811839
Sep-99,1607,3.206015877
Oct-99,1804,3.256236533
Nov-99,1850,3.267171728
Dec-99,1836,3.263872677
Jan-00,1542,3.188084374
Feb-00,1617,3.20871002
Mar-00,1920,3.283301229
Apr-00,1971,3.294686624
May-00,1992,3.299289334
Jun-00,2010,3.303196057
Jul-00,2054,3.312600439
Aug-00,2097,3.32159843
Sep-00,1824,3.261024834
Oct-00,1977,3.296006669
Nov-00,1981,3.296884476
Dec-00,2000,3.301029996
